Проект,,,https://www.youtube.com
Дата,,,24.03.2024
Сборка,,,-
Тестировщик,,,Михайлова Светлана
Окружение,,,"Google chrome 111.0.5563.65, Windows 10 Pro версия 21H2, Notebook PC Asus X712J."
Модуль,Элемент/функция,Описание,Статус
Плеер,Просмотр видео,Видео открывается на сайте с браузера,
,,"Видео проигрывается при нажатии кнопки ""Смотреть""",
,,"Видео останавливается при нажатии кнопки ""Пауза""",
,,"Следующее видео проигрывается при нажатии на кнопку""Следующее""",
,,Отображение просмотренной части видео в таймере,
,Настройки видео,Изменение громкости звука в видео,
,,Переключение видео в полноэкранный режим,
,,Перемотка видео с помощью полосы прокрутки или кнопок перемотки,
,,Отображение субтитров для видео (при их выборе),
,,Регулировка скорости воспроизведения видео,
,,Переключение разрешения видео без задержек,